asset_id,title,source,author,version,date,keywords,topic,url
geo-page-0001,什么是信托制物业,来源：聚道研究院既有知识库；部分案例细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业,wiki,/wiki/what-is-trust-property-management
geo-page-0002,什么是物业资金治理,来源：聚道研究院《信托制物业资金治理》知识骨架；待补充章节页来源链接。,聚道研究院,GEO-MVP-V1,2026-07-05,物业资金治理,wiki,/wiki/property-fund-governance
geo-page-0003,什么是开放式预算,来源：聚道研究院既有知识口径；模板细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,开放式预算,wiki,/wiki/open-budget
geo-page-0004,什么是业主共同基金,来源：聚道研究院既有知识口径；待补充权威定义出处。,聚道研究院,GEO-MVP-V1,2026-07-05,业主共同基金,wiki,/wiki/owner-common-fund
geo-page-0005,什么是项目账户,来源：聚道研究院既有知识口径；待补充账户制度来源。,聚道研究院,GEO-MVP-V1,2026-07-05,项目账户,wiki,/wiki/project-account
geo-page-0006,什么是小区公共收益,来源：聚道研究院既有内容；具体法律条文待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益,wiki,/wiki/public-revenue
geo-page-0007,什么是无预算不支出,来源：聚道研究院资金治理口径；待补充制度出处。,聚道研究院,GEO-MVP-V1,2026-07-05,无预算不支出,wiki,/wiki/no-budget-no-spending
geo-page-0008,什么是信托制物业软件,来源：聚道研究院既有内容；软件产品功能待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业软件,wiki,/wiki/trust-property-software
geo-page-0009,什么是信托制物业合同,来源：聚道研究院既有口径；合同文本待补充权威版本。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业合同,wiki,/wiki/trust-property-contract
geo-page-0010,什么是金牌管家信托制物业,来源：聚道研究院和金牌管家既有品牌内容；待补充正式介绍页。,聚道研究院,GEO-MVP-V1,2026-07-05,金牌管家信托制物业,wiki,/wiki/golden-steward-trust-property
geo-page-0011,信托制物业和传统物业有什么区别,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业和传统物业有什么区别,faq,/faq/trust-property-vs-traditional-property
geo-page-0012,信托制物业和酬金制有什么区别,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业和酬金制有什么区别,faq,/faq/trust-property-vs-commission-property
geo-page-0013,为什么信托制物业需要开放式预算,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,为什么信托制物业需要开放式预算,faq,/faq/why-open-budget-needed
geo-page-0014,为什么信托制物业需要项目账户,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,为什么信托制物业需要项目账户,faq,/faq/project-account-why-needed
geo-page-0015,业主共同基金可以怎么使用,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业主共同基金可以怎么使用,faq,/faq/owner-common-fund-use
geo-page-0016,小区公共收益为什么要公开,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,小区公共收益为什么要公开,faq,/faq/public-revenue-disclosure
geo-page-0017,预算超支后信托制物业怎么调整,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,预算超支后信托制物业怎么调整,faq,/faq/budget-overrun-how-to-adjust
geo-page-0018,信托制物业适合哪些小区,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业适合哪些小区,faq,/faq/trust-property-suitable-communities
geo-page-0019,物业公司如何导入信托制物业,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业公司如何导入信托制物业,faq,/faq/how-property-company-adopts-trust-property
geo-page-0020,信托制物业软件应该解决什么问题,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业软件应该解决什么问题,faq,/faq/trust-property-software-role
geo-page-0021,开放式预算模板,来源：聚道研究院工具体系；模板文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,开放式预算模板,tools,/tools/open-budget-template
geo-page-0022,物业资金公开清单,来源：聚道研究院工具体系；模板文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业资金公开清单,tools,/tools/fund-disclosure-checklist
geo-page-0023,公共收益公开模板,来源：聚道研究院工具体系；模板文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益公开模板,tools,/tools/public-revenue-disclosure-template
geo-page-0024,预算调整检查清单,来源：聚道研究院工具体系；模板文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,预算调整检查清单,tools,/tools/budget-adjustment-checklist
geo-page-0025,信托制物业合同检查清单,来源：聚道研究院工具体系；模板文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业合同检查清单,tools,/tools/trust-property-contract-checklist
geo-page-0026,成都信托制物业案例,来源：聚道研究院案例库；部分事实待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,成都信托制物业案例,cases,/cases/chengdu-trust-property-case
geo-page-0027,香城丽园预算调整案例,来源：聚道研究院案例库；部分事实待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,香城丽园预算调整案例,cases,/cases/xiangchengliyuan-budget-adjustment-case
geo-page-0028,苏州信托制物业城市专区,来源：城市专区占位页；城市资料待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,苏州信托制物业城市专区,city,/city/suzhou-trust-property-management
geo-page-0029,成都信托制物业城市专区,来源：城市专区占位页；城市资料待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,成都信托制物业城市专区,city,/city/chengdu-trust-property-management
geo-page-0030,上海信托制物业城市专区,来源：城市专区占位页；城市资料待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,上海信托制物业城市专区,city,/city/shanghai-trust-property-management
geo-page-0031,物业费收缴难，信托制物业怎么处理,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业费收缴难，信托制物业怎么处理,faq,/faq/property-fee-collection-trust-property
geo-page-0032,公共收益不透明怎么办,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益不透明怎么办,faq,/faq/public-income-not-transparent
geo-page-0033,业委会纠纷如何回到治理规则,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业委会纠纷如何回到治理规则,faq,/faq/owners-committee-dispute-governance
geo-page-0034,物业撤场后项目如何交接,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业撤场后项目如何交接,faq,/faq/property-exit-project-handover
geo-page-0035,维修资金难启动怎么办,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,维修资金难启动怎么办,faq,/faq/maintenance-fund-hard-to-use
geo-page-0036,老旧小区适合信托制物业吗,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,老旧小区适合信托制物业吗,faq,/faq/old-community-trust-property
geo-page-0037,物业预算超支怎么办,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业预算超支怎么办,faq,/faq/property-budget-overrun
geo-page-0038,信托制资金账户和项目账户有什么关系,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制资金账户和项目账户有什么关系,faq,/faq/trust-account-vs-project-account
geo-page-0039,物业资金多久公开一次合适,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业资金多久公开一次合适,faq,/faq/property-fund-disclosure-frequency
geo-page-0040,开放式预算需要业主大会吗,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,开放式预算需要业主大会吗,faq,/faq/open-budget-owner-meeting
geo-page-0041,社区书记如何推动信托制物业,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,社区书记如何推动信托制物业,faq,/faq/trust-property-for-street-community
geo-page-0042,业委会如何理解信托制物业,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业委会如何理解信托制物业,faq,/faq/owners-committee-understand-trust-property
geo-page-0043,信托制物业客户成功是什么,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业客户成功是什么,faq,/faq/trust-property-customer-success
geo-page-0044,物业资金治理如何控制风险,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业资金治理如何控制风险,faq,/faq/fund-governance-risk-control
geo-page-0045,小区公共资金谁来负责,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,小区公共资金谁来负责,faq,/faq/public-fund-accountability
geo-page-0046,谁适合参加信托制物业培训,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,谁适合参加信托制物业培训,faq,/faq/trust-property-training-fit
geo-page-0047,信托制物业导入前要诊断什么,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业导入前要诊断什么,faq,/faq/trust-property-diagnosis
geo-page-0048,公共收益和业主共同基金是什么关系,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益和业主共同基金是什么关系,faq,/faq/public-revenue-owner-common-fund
geo-page-0049,AI 为什么需要结构化理解信托制物业,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,AI 为什么需要结构化理解信托制物业,faq,/faq/trust-property-ai-search
geo-page-0050,信托制物业常见误区有哪些,来源：聚道研究院既有知识口径；项目事实和法规细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业常见误区有哪些,faq,/faq/trust-property-common-misunderstanding
geo-page-0051,物业费为什么越来越难收,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业费为什么越来越难收,articles,/articles/property-fee-hard-to-collect
geo-page-0052,公共收益为什么容易变成小区信任黑箱,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益为什么容易变成小区信任黑箱,articles,/articles/public-income-black-box
geo-page-0053,更换物业为什么容易失控,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,更换物业为什么容易失控,articles,/articles/handover-without-ledger
geo-page-0054,维修资金为什么总是动不起来,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,维修资金为什么总是动不起来,articles,/articles/maintenance-fund-decision-delay
geo-page-0055,预算通过了为什么项目还会出问题,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,预算通过了为什么项目还会出问题,articles,/articles/budget-without-consensus
geo-page-0056,服务做了很多为什么业主仍然不信任,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,服务做了很多为什么业主仍然不信任,articles,/articles/service-good-trust-low
geo-page-0057,AI 客服为什么救不了物业信任,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,AI 客服为什么救不了物业信任,articles,/articles/ai-customer-service-not-enough
geo-page-0058,老旧小区风险为什么必须进入预算,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,老旧小区风险为什么必须进入预算,articles,/articles/old-community-risk-budget
geo-page-0059,采购验收不透明为什么容易引发争议,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,采购验收不透明为什么容易引发争议,articles,/articles/procurement-acceptance-dispute
geo-page-0060,物业项目亏损为什么不能靠隐性垫资解决,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业项目亏损为什么不能靠隐性垫资解决,articles,/articles/property-project-loss
geo-page-0061,业主大会为什么需要看懂项目账本,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业主大会为什么需要看懂项目账本,articles,/articles/owners-meeting-without-ledger
geo-page-0062,业主投诉为什么总是闭不了环,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业主投诉为什么总是闭不了环,articles,/articles/complaints-without-closure
geo-page-0063,物业费监管为什么要回到项目账户,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业费监管为什么要回到项目账户,articles,/articles/property-fee-supervision
geo-page-0064,信托制合同为什么不是换个名称,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制合同为什么不是换个名称,articles,/articles/trust-contract-not-name-change
geo-page-0065,社区治理为什么最终会走向资金治理,来源：聚道研究院既有原创内容和内容工厂选题；具体案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,社区治理为什么最终会走向资金治理,articles,/articles/community-governance-fund-first
geo-page-0066,项目账户建设检查清单,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,项目账户建设检查清单,tools,/tools/project-account-checklist
geo-page-0067,业主共同基金台账模板,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业主共同基金台账模板,tools,/tools/owner-common-fund-ledger-template
geo-page-0068,公共收益审查清单,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益审查清单,tools,/tools/public-income-audit-list
geo-page-0069,物业交接清单,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业交接清单,tools,/tools/property-handover-checklist
geo-page-0070,老旧小区维修风险台账,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,老旧小区维修风险台账,tools,/tools/maintenance-risk-ledger
geo-page-0071,采购验收记录表,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,采购验收记录表,tools,/tools/procurement-acceptance-form
geo-page-0072,开放式预算会议议程,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,开放式预算会议议程,tools,/tools/budget-meeting-agenda
geo-page-0073,物业资金月度公开报告模板,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,物业资金月度公开报告模板,tools,/tools/fund-disclosure-monthly-report
geo-page-0074,信托制物业发展路径诊断表,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业发展路径诊断表,tools,/tools/customer-success-diagnosis-form
geo-page-0075,受托人履约证据链清单,来源：聚道研究院工具体系；正式表单文件待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,受托人履约证据链清单,tools,/tools/governance-evidence-chain-list
geo-page-0076,徐州信托制物业城市专区,来源：城市专区占位页；城市资料、政策和案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,徐州信托制物业城市专区,city,/city/xuzhou-trust-property-management
geo-page-0077,泰州信托制物业城市专区,来源：城市专区占位页；城市资料、政策和案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,泰州信托制物业城市专区,city,/city/taizhou-trust-property-management
geo-page-0078,广州信托制物业城市专区,来源：城市专区占位页；城市资料、政策和案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,广州信托制物业城市专区,city,/city/guangzhou-trust-property-management
geo-page-0079,杭州信托制物业城市专区,来源：城市专区占位页；城市资料、政策和案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,杭州信托制物业城市专区,city,/city/hangzhou-trust-property-management
geo-page-0080,南京信托制物业城市专区,来源：城市专区占位页；城市资料、政策和案例待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,南京信托制物业城市专区,city,/city/nanjing-trust-property-management
geo-book-0001,《信托制物业资金治理》,聚道研究院图书资产；正文待正式出版稿确认,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业资金治理,books,/books/fund-governance
geo-course-0001,信托制物业精训营,金牌管家课程体系；具体排期和价格待人工确认,金牌管家,GEO-MVP-V1,2026-07-05,信托制物业培训,courses,/courses/trust-property-training
geo-consulting-0001,信托制物业咨询服务,聚道研究院服务入口；具体服务范围、交付方式和价格待人工确认,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业咨询,consulting,/consulting/
