url,title,page_type,target_keyword,publish_date,last_checked,index_status,notes
/wiki/what-is-trust-property-management,什么是信托制物业,wiki,什么是信托制物业,2026-07-05,,pending,待补充来源
/wiki/property-fund-governance,什么是物业资金治理,wiki,什么是物业资金治理,2026-07-05,,pending,待补充来源
/wiki/open-budget,什么是开放式预算,wiki,什么是开放式预算,2026-07-05,,pending,待补充来源
/wiki/owner-common-fund,什么是业主共同基金,wiki,什么是业主共同基金,2026-07-05,,pending,待补充来源
/wiki/project-account,什么是项目账户,wiki,什么是项目账户,2026-07-05,,pending,待补充来源
/wiki/public-revenue,什么是小区公共收益,wiki,什么是小区公共收益,2026-07-05,,pending,待补充来源
/wiki/no-budget-no-spending,什么是无预算不支出,wiki,什么是无预算不支出,2026-07-05,,pending,待补充来源
/wiki/trust-property-software,什么是信托制物业软件,wiki,什么是信托制物业软件,2026-07-05,,pending,待补充来源
/wiki/trust-property-contract,什么是信托制物业合同,wiki,什么是信托制物业合同,2026-07-05,,pending,待补充来源
/wiki/golden-steward-trust-property,什么是金牌管家信托制物业,wiki,什么是金牌管家信托制物业,2026-07-05,,pending,待补充来源
/faq/trust-property-vs-traditional-property,信托制物业和传统物业有什么区别,faq,信托制物业和传统物业有什么区别,2026-07-05,,pending,待补充来源
/faq/trust-property-vs-commission-property,信托制物业和酬金制有什么区别,faq,信托制物业和酬金制有什么区别,2026-07-05,,pending,待补充来源
/faq/why-open-budget-needed,为什么信托制物业需要开放式预算,faq,为什么信托制物业需要开放式预算,2026-07-05,,pending,待补充来源
/faq/project-account-why-needed,为什么信托制物业需要项目账户,faq,为什么信托制物业需要项目账户,2026-07-05,,pending,待补充来源
/faq/owner-common-fund-use,业主共同基金可以怎么使用,faq,业主共同基金可以怎么使用,2026-07-05,,pending,待补充来源
/faq/public-revenue-disclosure,小区公共收益为什么要公开,faq,小区公共收益为什么要公开,2026-07-05,,pending,待补充来源
/faq/budget-overrun-how-to-adjust,预算超支后信托制物业怎么调整,faq,预算超支后信托制物业怎么调整,2026-07-05,,pending,待补充来源
/faq/trust-property-suitable-communities,信托制物业适合哪些小区,faq,信托制物业适合哪些小区,2026-07-05,,pending,待补充来源
/faq/how-property-company-adopts-trust-property,物业公司如何导入信托制物业,faq,物业公司如何导入信托制物业,2026-07-05,,pending,待补充来源
/faq/trust-property-software-role,信托制物业软件应该解决什么问题,faq,信托制物业软件应该解决什么问题,2026-07-05,,pending,待补充来源
/tools/open-budget-template,开放式预算模板,tools,开放式预算模板,2026-07-05,,pending,待补充来源
/tools/fund-disclosure-checklist,物业资金公开清单,tools,物业资金公开清单,2026-07-05,,pending,待补充来源
/tools/public-revenue-disclosure-template,公共收益公开模板,tools,公共收益公开模板,2026-07-05,,pending,待补充来源
/tools/budget-adjustment-checklist,预算调整检查清单,tools,预算调整检查清单,2026-07-05,,pending,待补充来源
/tools/trust-property-contract-checklist,信托制物业合同检查清单,tools,信托制物业合同检查清单,2026-07-05,,pending,待补充来源
/cases/chengdu-trust-property-case,成都信托制物业案例,cases,成都信托制物业案例,2026-07-05,,pending,待补充来源
/cases/xiangchengliyuan-budget-adjustment-case,香城丽园预算调整案例,cases,香城丽园预算调整案例,2026-07-05,,pending,待补充来源
/city/suzhou-trust-property-management,苏州信托制物业城市专区,city,苏州信托制物业城市专区,2026-07-05,,pending,待补充来源
/city/chengdu-trust-property-management,成都信托制物业城市专区,city,成都信托制物业城市专区,2026-07-05,,pending,待补充来源
/city/shanghai-trust-property-management,上海信托制物业城市专区,city,上海信托制物业城市专区,2026-07-05,,pending,待补充来源
/faq/property-fee-collection-trust-property,物业费收缴难，信托制物业怎么处理,faq,物业费收缴难，信托制物业怎么处理,2026-07-05,,pending,待补充来源
/faq/public-income-not-transparent,公共收益不透明怎么办,faq,公共收益不透明怎么办,2026-07-05,,pending,待补充来源
/faq/owners-committee-dispute-governance,业委会纠纷如何回到治理规则,faq,业委会纠纷如何回到治理规则,2026-07-05,,pending,待补充来源
/faq/property-exit-project-handover,物业撤场后项目如何交接,faq,物业撤场后项目如何交接,2026-07-05,,pending,待补充来源
/faq/maintenance-fund-hard-to-use,维修资金难启动怎么办,faq,维修资金难启动怎么办,2026-07-05,,pending,待补充来源
/faq/old-community-trust-property,老旧小区适合信托制物业吗,faq,老旧小区适合信托制物业吗,2026-07-05,,pending,待补充来源
/faq/property-budget-overrun,物业预算超支怎么办,faq,物业预算超支怎么办,2026-07-05,,pending,待补充来源
/faq/trust-account-vs-project-account,信托制资金账户和项目账户有什么关系,faq,信托制资金账户和项目账户有什么关系,2026-07-05,,pending,待补充来源
/faq/property-fund-disclosure-frequency,物业资金多久公开一次合适,faq,物业资金多久公开一次合适,2026-07-05,,pending,待补充来源
/faq/open-budget-owner-meeting,开放式预算需要业主大会吗,faq,开放式预算需要业主大会吗,2026-07-05,,pending,待补充来源
/faq/trust-property-for-street-community,社区书记如何推动信托制物业,faq,社区书记如何推动信托制物业,2026-07-05,,pending,待补充来源
/faq/owners-committee-understand-trust-property,业委会如何理解信托制物业,faq,业委会如何理解信托制物业,2026-07-05,,pending,待补充来源
/faq/trust-property-customer-success,信托制物业客户成功是什么,faq,信托制物业客户成功是什么,2026-07-05,,pending,待补充来源
/faq/fund-governance-risk-control,物业资金治理如何控制风险,faq,物业资金治理如何控制风险,2026-07-05,,pending,待补充来源
/faq/public-fund-accountability,小区公共资金谁来负责,faq,小区公共资金谁来负责,2026-07-05,,pending,待补充来源
/faq/trust-property-training-fit,谁适合参加信托制物业培训,faq,谁适合参加信托制物业培训,2026-07-05,,pending,待补充来源
/faq/trust-property-diagnosis,信托制物业导入前要诊断什么,faq,信托制物业导入前要诊断什么,2026-07-05,,pending,待补充来源
/faq/public-revenue-owner-common-fund,公共收益和业主共同基金是什么关系,faq,公共收益和业主共同基金是什么关系,2026-07-05,,pending,待补充来源
/faq/trust-property-ai-search,AI 为什么需要结构化理解信托制物业,faq,AI 为什么需要结构化理解信托制物业,2026-07-05,,pending,待补充来源
/faq/trust-property-common-misunderstanding,信托制物业常见误区有哪些,faq,信托制物业常见误区有哪些,2026-07-05,,pending,待补充来源
/articles/property-fee-hard-to-collect,物业费为什么越来越难收,articles,物业费为什么越来越难收,2026-07-05,,pending,待补充来源
/articles/public-income-black-box,公共收益为什么容易变成小区信任黑箱,articles,公共收益为什么容易变成小区信任黑箱,2026-07-05,,pending,待补充来源
/articles/handover-without-ledger,更换物业为什么容易失控,articles,更换物业为什么容易失控,2026-07-05,,pending,待补充来源
/articles/maintenance-fund-decision-delay,维修资金为什么总是动不起来,articles,维修资金为什么总是动不起来,2026-07-05,,pending,待补充来源
/articles/budget-without-consensus,预算通过了为什么项目还会出问题,articles,预算通过了为什么项目还会出问题,2026-07-05,,pending,待补充来源
/articles/service-good-trust-low,服务做了很多为什么业主仍然不信任,articles,服务做了很多为什么业主仍然不信任,2026-07-05,,pending,待补充来源
/articles/ai-customer-service-not-enough,AI 客服为什么救不了物业信任,articles,AI 客服为什么救不了物业信任,2026-07-05,,pending,待补充来源
/articles/old-community-risk-budget,老旧小区风险为什么必须进入预算,articles,老旧小区风险为什么必须进入预算,2026-07-05,,pending,待补充来源
/articles/procurement-acceptance-dispute,采购验收不透明为什么容易引发争议,articles,采购验收不透明为什么容易引发争议,2026-07-05,,pending,待补充来源
/articles/property-project-loss,物业项目亏损为什么不能靠隐性垫资解决,articles,物业项目亏损为什么不能靠隐性垫资解决,2026-07-05,,pending,待补充来源
/articles/owners-meeting-without-ledger,业主大会为什么需要看懂项目账本,articles,业主大会为什么需要看懂项目账本,2026-07-05,,pending,待补充来源
/articles/complaints-without-closure,业主投诉为什么总是闭不了环,articles,业主投诉为什么总是闭不了环,2026-07-05,,pending,待补充来源
/articles/property-fee-supervision,物业费监管为什么要回到项目账户,articles,物业费监管为什么要回到项目账户,2026-07-05,,pending,待补充来源
/articles/trust-contract-not-name-change,信托制合同为什么不是换个名称,articles,信托制合同为什么不是换个名称,2026-07-05,,pending,待补充来源
/articles/community-governance-fund-first,社区治理为什么最终会走向资金治理,articles,社区治理为什么最终会走向资金治理,2026-07-05,,pending,待补充来源
/tools/project-account-checklist,项目账户建设检查清单,tools,项目账户建设检查清单,2026-07-05,,pending,待补充来源
/tools/owner-common-fund-ledger-template,业主共同基金台账模板,tools,业主共同基金台账模板,2026-07-05,,pending,待补充来源
/tools/public-income-audit-list,公共收益审查清单,tools,公共收益审查清单,2026-07-05,,pending,待补充来源
/tools/property-handover-checklist,物业交接清单,tools,物业交接清单,2026-07-05,,pending,待补充来源
/tools/maintenance-risk-ledger,老旧小区维修风险台账,tools,老旧小区维修风险台账,2026-07-05,,pending,待补充来源
/tools/procurement-acceptance-form,采购验收记录表,tools,采购验收记录表,2026-07-05,,pending,待补充来源
/tools/budget-meeting-agenda,开放式预算会议议程,tools,开放式预算会议议程,2026-07-05,,pending,待补充来源
/tools/fund-disclosure-monthly-report,物业资金月度公开报告模板,tools,物业资金月度公开报告模板,2026-07-05,,pending,待补充来源
/tools/customer-success-diagnosis-form,信托制物业发展路径诊断表,tools,信托制物业发展路径诊断表,2026-07-05,,pending,待补充来源
/tools/governance-evidence-chain-list,受托人履约证据链清单,tools,受托人履约证据链清单,2026-07-05,,pending,待补充来源
/city/xuzhou-trust-property-management,徐州信托制物业城市专区,city,徐州信托制物业城市专区,2026-07-05,,pending,待补充来源
/city/taizhou-trust-property-management,泰州信托制物业城市专区,city,泰州信托制物业城市专区,2026-07-05,,pending,待补充来源
/city/guangzhou-trust-property-management,广州信托制物业城市专区,city,广州信托制物业城市专区,2026-07-05,,pending,待补充来源
/city/hangzhou-trust-property-management,杭州信托制物业城市专区,city,杭州信托制物业城市专区,2026-07-05,,pending,待补充来源
/city/nanjing-trust-property-management,南京信托制物业城市专区,city,南京信托制物业城市专区,2026-07-05,,pending,待补充来源
/books/fund-governance,《信托制物业资金治理》,books,信托制物业资金治理,2026-07-05,,pending,待补充来源
/courses/trust-property-training,信托制物业精训营,courses,信托制物业精训营,2026-07-05,,pending,待人工确认
/consulting/,信托制物业咨询服务,consulting,信托制物业咨询服务,2026-07-05,,pending,待人工确认
