date,type,title,url,source_status,status,notes
2026-07-05,wiki,什么是信托制物业,/wiki/what-is-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是物业资金治理,/wiki/property-fund-governance,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是开放式预算,/wiki/open-budget,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是业主共同基金,/wiki/owner-common-fund,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是项目账户,/wiki/project-account,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是小区公共收益,/wiki/public-revenue,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是无预算不支出,/wiki/no-budget-no-spending,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是信托制物业软件,/wiki/trust-property-software,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是信托制物业合同,/wiki/trust-property-contract,待补充来源,generated,GEO MVP page
2026-07-05,wiki,什么是金牌管家信托制物业,/wiki/golden-steward-trust-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业和传统物业有什么区别,/faq/trust-property-vs-traditional-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业和酬金制有什么区别,/faq/trust-property-vs-commission-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,为什么信托制物业需要开放式预算,/faq/why-open-budget-needed,待补充来源,generated,GEO MVP page
2026-07-05,faq,为什么信托制物业需要项目账户,/faq/project-account-why-needed,待补充来源,generated,GEO MVP page
2026-07-05,faq,业主共同基金可以怎么使用,/faq/owner-common-fund-use,待补充来源,generated,GEO MVP page
2026-07-05,faq,小区公共收益为什么要公开,/faq/public-revenue-disclosure,待补充来源,generated,GEO MVP page
2026-07-05,faq,预算超支后信托制物业怎么调整,/faq/budget-overrun-how-to-adjust,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业适合哪些小区,/faq/trust-property-suitable-communities,待补充来源,generated,GEO MVP page
2026-07-05,faq,物业公司如何导入信托制物业,/faq/how-property-company-adopts-trust-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业软件应该解决什么问题,/faq/trust-property-software-role,待补充来源,generated,GEO MVP page
2026-07-05,tools,开放式预算模板,/tools/open-budget-template,待补充来源,generated,GEO MVP page
2026-07-05,tools,物业资金公开清单,/tools/fund-disclosure-checklist,待补充来源,generated,GEO MVP page
2026-07-05,tools,公共收益公开模板,/tools/public-revenue-disclosure-template,待补充来源,generated,GEO MVP page
2026-07-05,tools,预算调整检查清单,/tools/budget-adjustment-checklist,待补充来源,generated,GEO MVP page
2026-07-05,tools,信托制物业合同检查清单,/tools/trust-property-contract-checklist,待补充来源,generated,GEO MVP page
2026-07-05,cases,成都信托制物业案例,/cases/chengdu-trust-property-case,待补充来源,generated,GEO MVP page
2026-07-05,cases,香城丽园预算调整案例,/cases/xiangchengliyuan-budget-adjustment-case,待补充来源,generated,GEO MVP page
2026-07-05,city,苏州信托制物业城市专区,/city/suzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,成都信托制物业城市专区,/city/chengdu-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,上海信托制物业城市专区,/city/shanghai-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,faq,物业费收缴难，信托制物业怎么处理,/faq/property-fee-collection-trust-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,公共收益不透明怎么办,/faq/public-income-not-transparent,待补充来源,generated,GEO MVP page
2026-07-05,faq,业委会纠纷如何回到治理规则,/faq/owners-committee-dispute-governance,待补充来源,generated,GEO MVP page
2026-07-05,faq,物业撤场后项目如何交接,/faq/property-exit-project-handover,待补充来源,generated,GEO MVP page
2026-07-05,faq,维修资金难启动怎么办,/faq/maintenance-fund-hard-to-use,待补充来源,generated,GEO MVP page
2026-07-05,faq,老旧小区适合信托制物业吗,/faq/old-community-trust-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,物业预算超支怎么办,/faq/property-budget-overrun,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制资金账户和项目账户有什么关系,/faq/trust-account-vs-project-account,待补充来源,generated,GEO MVP page
2026-07-05,faq,物业资金多久公开一次合适,/faq/property-fund-disclosure-frequency,待补充来源,generated,GEO MVP page
2026-07-05,faq,开放式预算需要业主大会吗,/faq/open-budget-owner-meeting,待补充来源,generated,GEO MVP page
2026-07-05,faq,社区书记如何推动信托制物业,/faq/trust-property-for-street-community,待补充来源,generated,GEO MVP page
2026-07-05,faq,业委会如何理解信托制物业,/faq/owners-committee-understand-trust-property,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业客户成功是什么,/faq/trust-property-customer-success,待补充来源,generated,GEO MVP page
2026-07-05,faq,物业资金治理如何控制风险,/faq/fund-governance-risk-control,待补充来源,generated,GEO MVP page
2026-07-05,faq,小区公共资金谁来负责,/faq/public-fund-accountability,待补充来源,generated,GEO MVP page
2026-07-05,faq,谁适合参加信托制物业培训,/faq/trust-property-training-fit,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业导入前要诊断什么,/faq/trust-property-diagnosis,待补充来源,generated,GEO MVP page
2026-07-05,faq,公共收益和业主共同基金是什么关系,/faq/public-revenue-owner-common-fund,待补充来源,generated,GEO MVP page
2026-07-05,faq,AI 为什么需要结构化理解信托制物业,/faq/trust-property-ai-search,待补充来源,generated,GEO MVP page
2026-07-05,faq,信托制物业常见误区有哪些,/faq/trust-property-common-misunderstanding,待补充来源,generated,GEO MVP page
2026-07-05,articles,物业费为什么越来越难收,/articles/property-fee-hard-to-collect,待补充来源,generated,GEO MVP page
2026-07-05,articles,公共收益为什么容易变成小区信任黑箱,/articles/public-income-black-box,待补充来源,generated,GEO MVP page
2026-07-05,articles,更换物业为什么容易失控,/articles/handover-without-ledger,待补充来源,generated,GEO MVP page
2026-07-05,articles,维修资金为什么总是动不起来,/articles/maintenance-fund-decision-delay,待补充来源,generated,GEO MVP page
2026-07-05,articles,预算通过了为什么项目还会出问题,/articles/budget-without-consensus,待补充来源,generated,GEO MVP page
2026-07-05,articles,服务做了很多为什么业主仍然不信任,/articles/service-good-trust-low,待补充来源,generated,GEO MVP page
2026-07-05,articles,AI 客服为什么救不了物业信任,/articles/ai-customer-service-not-enough,待补充来源,generated,GEO MVP page
2026-07-05,articles,老旧小区风险为什么必须进入预算,/articles/old-community-risk-budget,待补充来源,generated,GEO MVP page
2026-07-05,articles,采购验收不透明为什么容易引发争议,/articles/procurement-acceptance-dispute,待补充来源,generated,GEO MVP page
2026-07-05,articles,物业项目亏损为什么不能靠隐性垫资解决,/articles/property-project-loss,待补充来源,generated,GEO MVP page
2026-07-05,articles,业主大会为什么需要看懂项目账本,/articles/owners-meeting-without-ledger,待补充来源,generated,GEO MVP page
2026-07-05,articles,业主投诉为什么总是闭不了环,/articles/complaints-without-closure,待补充来源,generated,GEO MVP page
2026-07-05,articles,物业费监管为什么要回到项目账户,/articles/property-fee-supervision,待补充来源,generated,GEO MVP page
2026-07-05,articles,信托制合同为什么不是换个名称,/articles/trust-contract-not-name-change,待补充来源,generated,GEO MVP page
2026-07-05,articles,社区治理为什么最终会走向资金治理,/articles/community-governance-fund-first,待补充来源,generated,GEO MVP page
2026-07-05,tools,项目账户建设检查清单,/tools/project-account-checklist,待补充来源,generated,GEO MVP page
2026-07-05,tools,业主共同基金台账模板,/tools/owner-common-fund-ledger-template,待补充来源,generated,GEO MVP page
2026-07-05,tools,公共收益审查清单,/tools/public-income-audit-list,待补充来源,generated,GEO MVP page
2026-07-05,tools,物业交接清单,/tools/property-handover-checklist,待补充来源,generated,GEO MVP page
2026-07-05,tools,老旧小区维修风险台账,/tools/maintenance-risk-ledger,待补充来源,generated,GEO MVP page
2026-07-05,tools,采购验收记录表,/tools/procurement-acceptance-form,待补充来源,generated,GEO MVP page
2026-07-05,tools,开放式预算会议议程,/tools/budget-meeting-agenda,待补充来源,generated,GEO MVP page
2026-07-05,tools,物业资金月度公开报告模板,/tools/fund-disclosure-monthly-report,待补充来源,generated,GEO MVP page
2026-07-05,tools,信托制物业发展路径诊断表,/tools/customer-success-diagnosis-form,待补充来源,generated,GEO MVP page
2026-07-05,tools,受托人履约证据链清单,/tools/governance-evidence-chain-list,待补充来源,generated,GEO MVP page
2026-07-05,city,徐州信托制物业城市专区,/city/xuzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,泰州信托制物业城市专区,/city/taizhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,广州信托制物业城市专区,/city/guangzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,杭州信托制物业城市专区,/city/hangzhou-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,city,南京信托制物业城市专区,/city/nanjing-trust-property-management,待补充来源,generated,GEO MVP page
2026-07-05,books,《信托制物业资金治理》,/books/fund-governance,待补充来源,generated,conversion page
2026-07-05,courses,信托制物业精训营,/courses/trust-property-training,待人工确认,generated,conversion page
2026-07-05,consulting,信托制物业咨询服务,/consulting/,待人工确认,generated,service page
